#,Sub-Module,Question,What BRD Says (Partial/No Info),What We Need to Confirm,Concrete Example / Scenario,Status,
ZONES,,,,,,,
1,ZONES,What is the complete list of entity types that can be included in a Zone definition?,"BRD says Zones can include: Locations, Pools (collection of Areas), and Areas. No mention of Sub-Groups, Resources, or Resource Types.","Confirm final list: Locations, Pools, Areas only — or can Sub-Groups also be scoped within a Zone? Can individual Resources be added?",Admin creates Zone 'Downtown'. Can they add Location A + just Area B2 (not all of Location A)? Can they add Sub-Group 3 of Area B2?,⚠️ Partial,Sub-Groups are under the threshold as there are not really any settings there and they are controlled by the Area.
2,ZONES,What does 'Scope is never explicit and is always inherited' mean in practice?,BRD states: 'Scope is never explicit and is always inherited. Any Areas within a Location are automatically included when a Location is selected.',"Confirm: If a Zone includes Location X, are ALL Areas, Sub-Groups, Pools, and Resources inside Location X automatically in scope — even ones added in the future?",Zone 'North Sites' has Location X. A new Area is added to Location X next month. Is it automatically in scope for that Zone without any admin action?,⚠️ Partial,"That is correct.  The lowest level box checked inherits everything below it.  As soon as an Area is selected under a Location, all other Areas at that location are excluded until selected."
3,ZONES,"How does a Zone interact with non-geographic admin portal sections (Resource Types, System settings, etc.)?","BRD says: 'For areas of the admin portal that are not geographically specific, the User Tier assigned to a user account will control what permissions they have.'","Confirm: Does Zone only restrict geographic scope (Locations/Areas), while User Tier controls access to system-wide settings like Resource Types, Licensing, System Preferences?",Staff member has Zone = 'Branch A Only' and Tier = 'Location Manager'. Can they edit global Resource Types? Can they view Licensing info?,⚠️ Partial,"They would only be allowed to do this if the User Tier permissions indicate so (i.e., view License, modify Global XYZ)"
4,ZONES,"Can a user account have multiple Zones assigned, or only one?",BRD says standard Users inherit Zone from User Group. Users with elevated permissions 'may inherit or have a specific Zone applied at the User level.' No mention of multiple Zones.,"Confirm: Is it one Zone per user account at any time? If an admin needs access to 2 branches, do they get a Zone that contains both, or two separate Zone assignments?","Branch Manager needs access to both Branch A and Branch B. Is one Zone created with both locations, or do they get two Zones assigned?",⚠️ Partial,Elevated Users should be able to alloted to multiple Zones.  Great question.
5,ZONES,"What is the pre-defined 'Everywhere' Zone — can it be edited, deleted, or unassigned?","BRD mentions a pre-defined Zone called 'Everywhere — includes everything, always, and cannot be edited.'",Confirm: Is 'Everywhere' auto-assigned to Master Administrator only? Can Organization Admins also use it? Is it shown in the Zone list or hidden as a system-only object?,"If a new admin is created, do they default to 'Everywhere' or to no Zone (which would lock them out of everything)?",⚠️ Partial,It cannot be deleted nor edited.  The system should prevent admin's from locking themselves out.  A new System Administrator would default to the Everywhere zone which logically should not be removable.  A new User Tier can be created if they want less than Everywhere for a different type of admin.
6,ZONES,"How are Zone permissions enforced when a staff user tries to modify a message, reservation, or resource outside their Zone?",BRD notes: 'Zone permissions are evaluated when editing/deleting a message by comparing the Location/Area/etc. of the message against the Zone assigned to the User Account.',"Confirm: Does the system silently hide out-of-zone items from the user's view, or does it show them but block action with an error? Which approach for each entity type?","Staff user (Zone = Branch A) views reservation list. Does Branch B's reservation appear greyed-out, or is it completely hidden from their list?",⚠️ Partial,"This can be discussed, but off the top I would think that hiding sections completely lacking any permissions and greying out specific subsections elsewhere would be logical.

For example Constructs and its subsection may be completely MIA along with Report Schedules while still showing Reports and Transactions.  At a more granular level specific action items would simply be greyed out/unclickable."
7,ZONES,What permissions are controlled by User Tier vs. controlled by Zone — what is the complete division?,BRD says permissions = what you can do (User Tier) + where you can do it (Zone). No exhaustive list of which permissions fall under each.,"Need a matrix or at minimum a list of all admin actions and whether they are: (A) Tier-only, (B) Zone-scoped, or (C) both Tier + Zone required.",Can a 'Location Manager' tier user VIEW resource types globally but only EDIT resource types within their Zone? Or is view also Zone-scoped?,⚠️ Partial,Viewing vs. editing is a User Tier level setting.  Agreed that a matrix is needed and I believe was mentioned in the spreadsheet.
8,ZONES,"How does Zone interact with Pools — if a Zone includes Pool X, does it include all Areas in that Pool?",BRD says Zone definitions can include Pools (collection of Areas). No detail on what happens if a Pool membership changes after Zone assignment.,"Confirm: If Pool X has Areas A1, A2, A3, and Zone includes Pool X — then A4 is added to Pool X — is A4 automatically in scope for the Zone?",Zone 'West Pool' includes Pool W. Admin adds Area W4 to Pool W next week. Does Zone 'West Pool' automatically cover W4 without re-editing the Zone?,⚠️ Partial,Yes.  Zones should not require editing if a sub-member is modified.
9,ZONES,"What happens to Zone assignments when a Location, Area, or Pool is decommissioned or removed?","BRD does not address what happens to Zone definitions when underlying entities (Locations, Areas, Pools) are decommissioned or deleted.",Confirm: Is the decommissioned entity automatically removed from Zone definitions? Does the Zone become invalid? Does an admin receive an alert?,"Branch C is decommissioned. Zone 'Central' had Branch C in it. Does Zone 'Central' auto-update to remove Branch C, or does it need manual cleanup?",❌ No Info,"It should auto-remove if removed, but should remain if simply decommissioned. "
10,ZONES,Can a Zone be assigned to a User Group (not just individual user accounts)?,BRD says 'standard Users always inherit their Zone from the User Group.' This implies User Groups have Zones — but the Zone management UI for User Groups is not described.,"Confirm: Is Zone assignment part of User Group configuration? Can one User Group have multiple Zones, or just one? What if no Zone is set on a User Group?",Public user group — should these users be allowed to use kiosks at any branch. Is Zone = 'Everywhere' set on the Public group by default?,⚠️ Partial,User Groups are assigned a single Zone.  The default should be Everywhere.
11,ZONES,What is the default Zone for a newly created user account before any Zone is explicitly assigned?,"BRD does not specify the default Zone state for new accounts. It says standard users inherit Zone from User Group, but does not state what happens if User Group has no Zone.","Confirm: Is the default Zone 'Everywhere', 'None/No Access', or inherited from a system default? What if User Group itself has no Zone configured?","New staff account created in User Group 'Staff — No Zone Set'. What can they access? Everything, nothing, or only their Home Location?",❌ No Info,"Standard users can only inherit from the User Group, and elevated User Tiers should default to the same.  They are often associated with the ""Staff"" User Group in which case the Zone assigned there would get them started."
12,ZONES,"Are there audit logs for Zone configuration changes (creation, modification, assignment)?","BRD mentions an Audit Log section under System > Logging, but does not specify whether Zone changes are one of the audited events.",Confirm: Are Zone create/edit/delete events logged in the Audit Log? Is Zone assignment to a user account also logged? What fields are captured in the log entry?,Auditor asks: 'Who changed the Zone on Admin account X and when?' Can the system answer that question from the Audit Log?,❌ No Info,We need an Audit matrix and this sort of modification seems audit worthy.
13,ZONES,Can Zones be used to restrict what a staff user sees on the Dashboard and Heatmap?,BRD describes the Dashboard with Location and Area/Pool dropdowns but does not specify if a Zone-restricted user sees only their Zone's data by default.,"Confirm: Does a staff user with Zone = 'Branch A' see only Branch A on the Dashboard? Is the Location dropdown pre-filtered to their Zone, or do they see all locations?","Staff at Branch A opens Dashboard. Does the dropdown show all 15 branches (filtered by Zone to Branch A only), or all 15 branches with Branch A pre-selected?",⚠️ Partial,I think the latter makes more sense with non-permissed Locations/Pools/Areas greyed out.
14,ZONES,"What is the CRUD (Create, Read, Update, Delete) permission model for Zones themselves — who can manage them?","BRD shows Zones as a sub-section under Constructs in the Admin menu. No detail on which User Tiers can create, edit, or delete Zones.",Confirm: Which User Tiers can create/edit/delete Zones? Can a Location Manager create a Zone? Can they only manage Zones that fall within their own Zone?,Location Manager for Branch A — can they create a new Zone that includes Branch A + Branch B? Or can only Organization Admins manage Zones?,❌ No Info,Any Admin with Zone permissions defined at their User Tier level would be able to execute any of the assigned permissions.
SEGMENTS,,,,,,,
15,SEGMENTS,What are the two types of Segments and what is the precise difference between them?,BRD mentions 'Communication Segments' and 'Authentication Segments'. Communication = group of servers for client connections. Authentication = servers that send auth attempts to external authorities.,"Confirm: Is a Communication Segment purely for workstation-to-server connectivity, and Authentication Segment is only for server-to-external-auth (LDAP, SIP2, etc.)? Can one Segment serve both?","Library has 3 servers. Server 1 handles local auth only. Server 2 handles LDAP. Do we need 2 separate Segments, or one Segment that handles both?",⚠️ Partial,"Workstation to server and server to main server comms, and for auth it doesn't matter the type of Integration, just routing authentication requests.  Allowing a single segment to multi-select as capable of comms and auth is good."
16,SEGMENTS,What fields are required to define a Segment (both Communication and Authentication types)?,"BRD schema shows: Segment Name, Segment Type, Main Servers, Secondary Servers, and some behavior flags. No complete validated field list provided.","Confirm the full field list for each Segment type: Name, Type, Main Servers list, Secondary Servers list, Relay All Auth Through Mains (Y/N), Server preference mode (Load balance, Prefer Main 1, Any, etc.).",Creating 'Downtown Auth Segment': What is the minimum required? Just Name + Type + at least 1 server? Or are Secondary Servers and preference mode also mandatory?,⚠️ Partial,"Tha main server and secondary server will often be the same server in single server installations.

From the  Core Setup for Basic Use Tab:
Segment Name:
Segment Type(s): Authentication / Communication / Authentication & Communication
Main Servers
Secondary Servers
(Mode) Relay all Auth through Mains (0/1)
Prefer Main Svr. 1, 2, 3, combo, Any, Load balance, etc."
17,SEGMENTS,"How are Segments assigned to Locations, Areas, and Kiosks — and can they differ within the same Location?","BRD says Locations have a Segment assigned, Kiosks have a Comms Segment, and Areas also appear to have Segment options. No clear hierarchy of which takes precedence.","Confirm: Is Segment always set at Location level and inherited by Areas/Kiosks, or can each Area and Kiosk have a different Segment override? What is the inheritance model?","Branch A has Comms Segment 'LAN1'. Kiosk K1 in Branch A — does it auto-use Segment 'LAN1', or can Kiosk K1 be assigned a different Segment independently?",⚠️ Partial,"If the only comms segment assigned to Location/Branch A is LAN1, then when Kiosk K1 is created and/or assigned to Location/Branch A, it would automatically select the first - and in this case only - comms segment available (LAN1).  

However, if multiple comms segments are associated with a given Location, upon creation and/or assignment/reassignment, the Kiosk being configured would default to the first/highest, and the dropdown would populate the more than one segment."
18,SEGMENTS,What are the pre-defined Segments — what do 'Any Server - Communication' and 'Any Server - Authentication' do?,"BRD lists two pre-defined, non-deletable Segments: 'Any Server - Communication' and 'Any Server - Authentication'. No behavioral description provided.","Confirm: Does 'Any Server - Communication' mean the workstation will attempt to connect to any available server it can reach? What is the failover order — random, round-robin, or by latency?","An endpoint assigned to 'Any Server - Communication' — if Server 1 is offline, does it automatically try Server 2? Is there a defined order or is it random?",⚠️ Partial,"Any Server - Communications is simply a collection of any/every server defined that is hosting the Endpoint APIs.  Each Location has the ability to select the mode (local only, local then any, or any), as well as specify the home (preferred) server.  
An additional config at the Location level could dictate the logic of the order of a segment when multiple servers are defined (and it is not set to local only)... as suggested latency, round robin, random.  
If latency, there should be a threshold that must be met to be considered eligible?  E.g., latency over 1000ms is considered offline and an alert should log?  
If set to round robin or random, should there be some kind of interval in minutes or # of requests processed before it switches/selects another server?
If set to random, should there be a stored procedure or relatively easy way to influence/control the random selection of servers within a given segment?"
19,SEGMENTS,What is the 'Failback Interval' — how does a workstation know when to try returning to its preferred server?,BRD mentions a 'Failback Interval — Frequency in seconds between check-ins/attempts to return to preferred server — ignored if Any Server is selected.',"Confirm: Is this a polling interval where the workstation pings its preferred server at regular intervals? What triggers failback — first successful ping, or multiple successful pings?","Workstation normally connects to Server 1 (preferred). Server 1 goes offline, workstation fails over to Server 2. Failback Interval is 60 sec. After 60 sec, does workstation switch back to Server 1 immediately on first successful ping?",⚠️ Partial,"Failback interval is amount of time that passes between checks to see if the preferred server is available again. 

Pings should not be used as the means of determining availability as they are not in scope of network requirements and customer sites will not be required nor expected to allow them.

I expect that a successful connection to the Endpoint API along with some kind of check/validation should be adequate to switch back to the preferred server.

Apart from the ping method of validation that the server's Endpoint API is reachable, the gist of the description of failback behavior is correct."
20,SEGMENTS,What happens to active user sessions when a server fails and a workstation fails over to a secondary server?,"BRD describes failover behavior options: Local only, Any (prefer local), Any available. No detail on what happens to in-progress sessions during a server switch.",Confirm: If a user is actively logged in and the server fails over mid-session — does their session continue uninterrupted? Is session state cached locally on the workstation?,"User is in the middle of a 60-min session. Server 1 crashes. Workstation fails over to Server 2 at minute 20. Does the session continue with 40 min remaining, or is it terminated?",❌ No Info,"Continue the session - as if nothing happened. User should be unaware of the switches.  If no server is available, offline mode would be triggered."
21,SEGMENTS,"Can Segments restrict which external authentication providers (LDAP, SIP2, etc.) a server can contact?",BRD says Authentication Segments 'define a group of servers capable of sending authentication attempts and dictating which servers are permitted to process authentication requests to external authorities.',Confirm: Does an Authentication Segment also define WHICH external providers those servers are allowed to call? Or does that come purely from the Workflow configuration?,"Server in Segment 'LibraryAuth' — can it call both LDAP and SIP2, or does the Segment restrict it to one? Where is the server-to-external-provider permission configured?",⚠️ Partial,"Refer to the ""Core Setup for Basic Use"" tab
- Locations specify expected user Types
- Workflows available for Location are populated from the list of Global Workflows that match the defined user Types including those without User Type constraints
- Workflows parsed can be enabled/disabled (allowed/disallowed for the given Location)
- Process against all matched workflows until success or all have failed?  Option to only process against first match?
- We could either have an Auth Segment attached to the Identity Provider definition to explicitly define the servers capable of handling that specific Authentication method (preferable) and cross reference between the two segments (identity provider auth Segment and Location auth Segment), or we could expect/require that the auth servers in a Segment be capable of handling all authentication methods for the given Location.                                                                                                                                                                                                 "
22,SEGMENTS,What is the complete list of fields shown in the Segments grid in the Admin portal?,"BRD shows a data grid for Segments with Sort, Filter, and Search options. The specific columns displayed in the default grid view are not listed.","Confirm the default column set for the Segments grid: Segment Name, Type, Server Count, Assigned Locations Count, Status (active/inactive), Date Created, Last Modified?",Admin opens the Segments list. What columns do they see by default? Can they add/remove columns? What is the default sort order?,❌ No Info,"Refer to the ""Core Setup for Basic Use"" tab… Is there a reaosn not to show all columns?  Fields mapped will need to be determined for SIP, III, etc…"
23,SEGMENTS,How is 'Home Server' defined per Location and how does it interact with the Segment's server list?,BRD says workstations inherit their preferred/home server from the Location settings. Also mentions 'Preferred Server — Servers are ordered with default/preferred server auto-moved to top.',"Confirm: Is the Home Server a single server selected from within the assigned Segment, or can it be any server regardless of Segment? What if Home Server is not in the Segment?",Branch A's home server is Server 1. Segment 'LAN1' only has Server 2 and Server 3. Is this a config error? Does the system warn the admin?,⚠️ Partial,"Location A cannot have a ""home"" server except defined by the Segment.  If you mean that Server 1 is physically located at Location A, the system still would not know/care.  It would need to be included in a Segment and that Segment would need to be assigned to the Location, and then Server 1 would need to be set as the first entry/primary/preferred comms server."
24,SEGMENTS,"What are the actions available on the Segments list (Add, Edit, Delete, Deactivate)?","BRD shows a grid with Sort/Filter/Search for Segments but the specific action buttons (Add, Edit, Remove, Deactivate) are not listed in the Constructs admin section.","Confirm the full action set: Add new Segment, Edit existing, Delete/Remove, Deactivate (without deleting), Duplicate/Clone? Any restrictions (e.g., cannot delete Segment that is assigned to a Location)?","Admin tries to delete Segment 'LAN1' but it is assigned to 3 Locations. Does the system block deletion, warn and allow, or automatically unassign first?",❌ No Info,Block deletion and require manual unassignment.  The Segments typically would be set up and rarely changed.  It is acceptable/desirable to require some manual effort/professional assistance to ensure proper config and avoid undoing something that we cannot readily restore without customer input (knowledge of their network) when the customer IT staff may have turned over since initial implementation.
WORKFLOWS,,,,,,,
25,WORKFLOWS,What is the complete definition of a Workflow and what specific problem does it solve?,BRD says: 'Workflows shape authentication requests — mapping of user types to specific integrations while shaping request workflows to segments.' Also referenced in backend setup.,"Confirm the exact role of a Workflow: Is it purely an auth routing rule (User Type X → Integration Y → Segment Z), or does it also include automated scheduled tasks (nightly cleanup, account expiry)?","Is a Workflow the thing that says 'If User Type = Student, use LDAP integration, via Auth Segment A'? Or is that a Workflow + something else?",⚠️ Partial,"Workflows map/constrain to Identity providers but should not be tied to a Segment (avoid excessive Workflow definitions).  Locations affiliate to auth Segments, and potentially Identity Providers as well.  The overlap determines the list of servers to chose from for a given User Type."
26,WORKFLOWS,What are all the configurable fields in a Workflow definition?,"BRD schema shows: Workflow Name, User Tier Constraints, User Type Constraints, Account Type Constraints, Identity Provider, Permitted Reverse Lookups, Account Creation options, Fields to Import, Alias Generation Options/Format, Errors.",Confirm the complete validated field list and whether each field is required or optional. Clarify 'Alias Generation Options/Format' — what format syntax is supported?,Creating Workflow 'Public Library Cardholders': Required fields = Name + User Type + Identity Provider? Or is Segment assignment also required at Workflow level?,⚠️ Partial,"Refer to the ""Core Setup for Basic Use"" tab… Segment should not exist at the Workflow level.  Possibly the identity provider as a cross-reference for the Location auth Segment"
27,WORKFLOWS,How do Global Workflows and Location-Level Workflows differ — what can be overridden at Location level?,"BRD section 5.0 describes Global Workflows, and section 6.0 describes Location Setup (Local Workflows) as overrides. The exact override options at Location level are partially listed.","Confirm: At Location level, can an admin (a) enable/disable specific Global Workflows, (b) add Location-specific constraints (User Types, Segments), or (c) create entirely new Location-only Workflows?","Global Workflow 'Library Cards' works for all branches. Branch A only allows Library Cards from Monday–Friday. Is that a Location-level Workflow override, or something else?",⚠️ Partial,"There is no feature to automatically allow/disallow certain User Types on any sort of schedule.  Location level overrides pertain to specific sections/behaviors.

See: Database & GUI Structure 
(incl. text string overrides for errors, verbiage, etc.)"
28,WORKFLOWS,What are the pre-defined Global Workflows that ship out of the box?,"BRD shows example pre-defined Workflows: 'Standard Users Default Database', 'Special Accounts Default Database', 'Admin Accounts Default Database', 'Public Library Cardholders', 'Student Users LDAP', 'Flat File Accounts'.","Confirm: Are these actual pre-defined Workflows in the product, or just examples? Which ones ship by default and are non-deletable? Can admins clone and modify them?","Client installs the system. Do they see these 6 example Workflows pre-loaded, or is the Workflow list empty and they build from scratch?",⚠️ Partial,The primary database.  The rest can be added/templatized later.
29,WORKFLOWS,What does 'Permitted Reverse Lookups' mean in a Workflow — what options exist?,BRD lists 'Permitted Reverse Lookups' as a Workflow field. No definition or options are provided for what a Reverse Lookup is or what values are permitted.,"Confirm: Is a Reverse Lookup the ability for the server to look up a user's details from an external system using the user's ID? What are the allowed options (e.g., Never, On Login, On Demand)?","User logs in with barcode. Does the system only validate the barcode (forward auth), or does it also pull back name/email from the ILS (reverse lookup)? How is that configured per Workflow?",❌ No Info,"Absolutely it pulls back info from SIP and other solutions.

Let's discuss this in a call.  The current solution uses a script that parses the 64 response and checks the field prefixes to identify unique fields and make logic decisions on what fields are cached.

Additionally, the initial reverse lookups are in the database to find the string that must be sent to the external Identity Provider, or in the case of internal database lookups it determines which fields are permitted for reverse lookup/login."
30,WORKFLOWS,What account creation options are available within a Workflow?,BRD lists 'Account Creation options?' as a Workflow field with a question mark — suggesting it is still undecided. One example shows 'Do not create' for Flat File Accounts Workflow.,"Confirm: What are all the account creation options within a Workflow? E.g., (1) Auto-create if not found, (2) Prompt staff to create, (3) Do not create — deny access, (4) Create with specific User Type/Group?","Student logs in with LDAP credentials for the first time. No account exists in the system. Does the Workflow auto-create an account, prompt staff, or deny and show an error?",❌ No Info,"The system can be configured to create the account and allow the logon, or deny the logon attempt.  A third option is to allow the logon without creating the account, but that is not needed for this phase of the project."
31,WORKFLOWS,How does a Workflow handle authentication errors — what error states are tracked and surfaced?,"BRD lists error scenarios in the Workflow schema: 'Account creation, not found, bad pass, duplicate account, etc.' No specification of how errors are displayed or logged.","Confirm: For each error type (not found, bad password, duplicate, account creation failure) — what does the end user see on the kiosk screen? What is logged? Does staff get an alert?","User enters valid library card number but the SIP2 server is offline. Does the kiosk show 'System Unavailable', 'Invalid Card', or fall back to offline mode? Is staff alerted?",❌ No Info,"The external solutions will return their own errors in many cases when functioning properly.  If the external Identity Provider is unreachable, falling back to the offline experience as configured is desired.  Staff should be alerted."
32,WORKFLOWS,Can a single Location have multiple Workflows active simultaneously — and how does the system decide which Workflow to apply?,"BRD section 6.0 shows a Location can have multiple Available Workflows listed (e.g., Public Library Cardholders + Special Accounts + Standard Users). No selection priority logic is described.","Confirm: When a user authenticates, how does the system decide which Workflow to use? Is it based on User Type match? First-match wins? Or does it try all and use the first success?",Branch A has 3 Workflows active. User types 'ABC123' at the kiosk. How does the system know to try LDAP vs SIP2 vs local DB first? Is there a priority order?,❌ No Info,"See notes above discussing this topic, possible solutions, open to discussion."
33,WORKFLOWS,"Where in the UI are Workflows managed — under Constructs only, or also accessible from System > Integrations?",BRD shows 'Workflows' listed under both the Constructs admin section AND under Setup > Backend > Workflows. Also referenced under System > Identity Providers.,"Confirm: Is there one single Workflow management screen, or two separate areas (one for auth routing Workflows, one for backend automated Workflows)? Are they the same entity or different?",Admin goes to Constructs > Workflows. Admin also goes to Setup > Backend > Workflows. Are these the same list of Workflows or different types?,⚠️ Partial,"Systems > Connections > Identity Providers will likely be shielded from view for all but full admins as it will have connection credentials and info available.

Constructs > Wokflows allows for controlling how the system works without exposing the underlying details of the integrations themselves.

See the ""Core Setup for Basic Use"" tab… They are different."
34,WORKFLOWS,What is 'Alias Generation Options/Format' in a Workflow — what syntax or patterns are supported?,"BRD lists 'Alias Generation Options/Format' as a Workflow field. The BRD Decision Points tab mentions 'Spec out alias generation options — syntax, desired field, number of characters from left or right.'","Confirm: What alias format patterns are supported? E.g., first 4 chars of last name + last 4 of barcode? Is there a pattern builder UI or free-text regex? Where is the alias stored on the user account?",Workflow imports student from LDAP. Alias should be first 3 letters of last name + student ID last 4 digits. Is that configurable in the Alias Generation field? What is the format syntax?,❌ No Info,"We need to specify the defined formats, but the scripting engine of the existing solution allows for us to parse out whatever we want.  

In general it would be selecting pretty much any combination of fields in the db and selecting how much of the field we want...

first two letters of first name, first letter of last name, hyphen, last 3 numbers of account number

full first name, first initial of last name

full last name, first initial of last name

full logon ID

Handling duplicate formats with a randomizer string/suffix like ""-###"" (e.g., people with similar/identical names)  "
ACCESS PORTALS,,,,,,,
35,ACCESS PORTALS,What is the rule 'Single portal allowed per location' — does this mean one Portal URL per Location?,BRD states 'Single portal allowed per location' under the Constructs > Access Portals section. No further explanation of what this constraint means technically.,"Confirm: Does this mean each Location can only have ONE web-accessible reservation portal URL? Can a Location have one portal for staff and one for end users, or is it strictly one total?",Branch A needs a public patron portal (patrons.branchA.com) AND a staff portal (staff.branchA.com). Is that 2 portals — and therefore not allowed by this rule?,⚠️ Partial,"I expect that this would be realized more along the lines of having unique path that maps to a specific Location, and once a Location is assigned, it is not available for assignment to another."
36,ACCESS PORTALS,What fields are required to create an Access Portal?,"BRD Layout sheet shows Portal fields: Name, Server hosting the Portal (URI), API processing engagement, Associated Location, and path. No complete validated required field list.","Confirm the full Portal definition field list: Name, Associated Location (required), Server/URI (required), Path, Pooling Mode, Comms Segment, Permissions Matrix, Schedule — which are required vs optional?",Admin creates portal 'Main Branch Reservations'. Minimum required to save: just Name + Location + URI? Or must they also assign a Segment and Permissions before it goes live?,⚠️ Partial,"I anticipate a psuedo-virtual Kiosk entry being made in order to control these settings.

I am not sure the full extent of settings needed here.  At least a path and an association to a Location.  Maybe just a Location and the Location Code is the path?
"
37,ACCESS PORTALS,What reservation types can end users make through an Access Portal vs. a Kiosk?,BRD shows Area-level settings for 'Portal Reservation Types' (separate from general 'Reservation Types'). No detail on which types are portal-exclusive vs. kiosk-exclusive.,"Confirm: Can end users make Walk-Up, Scheduled, and Waitlist reservations through a Portal? Can they make Block or Maintenance reservations (staff-only)? What is the exact allowed set per role?","End user visits portal.branchA.com. What reservation types can they initiate: only Scheduled, or also Waitlist, Walk-Up? What if they have elevated User Tier?",⚠️ Partial,"It depends on the Areas and that depends on which Areas are connected to the Portal.  My expectation is that customer facing portals would have an entry under the Kiosks context to specify most of these customizations/configurations, but realistically most of those are dependent on selection/knowledge of a Location *before* logging...."
38,ACCESS PORTALS,How does a Portal enforce Permissions — does it use the same Zone + Tier model as the Admin portal?,"BRD Constructs layout shows 'Permissions Matrix: User Tier, User Type, User Group' for Portals. No detail on how this interacts with Zone assignments.",Confirm: Does a patron accessing a Portal still need to be in the correct Zone? Or does the Portal's own Location assignment determine geographic scope automatically?,"Portal is assigned to Branch A. Standard user (Zone = 'Everywhere') logs in. Can they reserve resources at Branch B through this portal, or is the portal scoped strictly to Branch A?",⚠️ Partial,See above.  Kiosk entry.
39,ACCESS PORTALS,What is the URI structure for Access Portals — is it hostname-based or path-based?,"BRD examples show portal URIs like: 'https://whocareswhichservername/loccode', 'https://whocareswhichservername/portal2', 'https://whocareswhichservername/ravenhill'. Suggests path-based on same server.","Confirm: Are all portals hosted on the same server with different paths (e.g., /portal1, /portal2), or can different portals have different hostnames (different DNS entries)? Is HTTPS required?","Client wants portal1.branchA.com and portal2.branchB.com (different domains). Is that supported, or must all portals be paths on the same server?",⚠️ Partial,"Various servers and therefore hostnames may be in play and should not be the differentiator.  

Some form of control needs to be implemented - realistically via forcing the individual to select their preferred Location first.

I would expect the pathname to be the differentiator for which ""Kiosk"" it should behave as.  Multiple servers could facilitate the same requests, and the differentiator would be which Location is preferred"
40,ACCESS PORTALS,What happens to reservations made through a Portal when the Portal is decommissioned or taken offline?,BRD does not describe what happens to existing or pending reservations when a Portal is removed or made offline.,Confirm: If Portal 'BranchA-Portal' is decommissioned — do existing reservations made through it remain active? Are users notified? Is there a grace period before decommission?,Admin decommissions portal.branchA.com. 15 users have scheduled reservations made through that portal for next week. Do those reservations survive? Are users emailed?,❌ No Info,"Yes, they survive.  No notifications needed."
41,ACCESS PORTALS,Can a Portal be assigned to a Pool instead of a Location — and how does that affect which resources are shown?,"BRD Layout sheet shows Portal options for 'Allow one or more' and references the portal serving patrons. Also, Pools are referenced as an option in some reservation contexts.","Confirm: Can a Portal be assigned to a Pool (which spans multiple Areas/Locations) instead of a single Location? If yes, does it show all resource types in all Pool member Areas?",Pool 'Maker Spaces' contains Areas at 3 branches. Can one Portal be assigned to this Pool to let patrons reserve any Maker Space item across all 3 branches?,⚠️ Partial,Portals would most commonly be assigned to a Pool to control which Resources / Areas can be reserved.
42,ACCESS PORTALS,What branding and theming options are available per Portal?,BRD mentions a Theming section under System and references branding options. BRD Decision Points mentions 'Kiosk theming — specify what all can be customized including background images.' Portal theming is not separately specified.,"Confirm: Can each Portal have its own logo, color scheme, and background image? Or does theming apply globally across all portals and kiosks? Can portal-level CSS overrides be applied?","Client has 2 portals — one for a library (blue theme) and one for a university (red theme). Can each portal have its own branding, or is it one theme for the whole organization?",⚠️ Partial,"For now, single theming is fine.  Long term, branding/theming should be individually customizable."
43,ACCESS PORTALS,"What are all the actions available on the Access Portals list (Add, Edit, Decommission, Delete)?","BRD shows Access Portals in the Constructs admin menu with a data grid (Sort, Filter, Search). Specific action buttons are not listed for Access Portals in the BRD.","Confirm the full action set: Add new Portal, Edit/Modify, Decommission (disable without deleting), Delete/Remove, Duplicate/Clone? Restrictions — e.g., can't delete Portal with active reservations?","Admin wants to temporarily disable a portal for maintenance. Is there a 'Decommission' or 'Disable' toggle, or must they delete and recreate? Can they schedule a portal downtime?",❌ No Info,"The Portal is likely just a path + Location which is the indication that a given Location is ""live"" for selection.  Should failure to include a specific path result in a Location selection landing page?  Staff and Admin interfaces will have their own path, correct?"
